view_count,answer_count,question_count,reputation_change_quarter,reputation,link,display_name,user_id,bronze,silver,gold
9,0,8,0,137,https://stackoverflow.com/users/4067621/noob-23,noob_23,4067621,9,1,0
4,1,2,0,15,https://stackoverflow.com/users/4084794/brad,Brad,4084794,5,0,0
11,2,5,0,83,https://stackoverflow.com/users/4094708/onlydmc123,onlydmc123,4094708,8,0,0
32,2,8,0,303,https://stackoverflow.com/users/4310813/trusislv1,Trusislv1,4310813,10,5,2
7,0,6,0,1,https://stackoverflow.com/users/4324248/huxley,Huxley,4324248,6,0,0
9,0,3,0,3,https://stackoverflow.com/users/4331683/hawke-damian,Hawke Damian,4331683,4,0,0
35,0,11,0,1,https://stackoverflow.com/users/4332131/harry-patrick,Harry Patrick,4332131,5,0,0
11,2,4,0,89,https://stackoverflow.com/users/4394200/lawrence-nwoko,Lawrence Nwoko,4394200,10,1,0
19,0,6,0,71,https://stackoverflow.com/users/4407777/arie-b,Arie B,4407777,7,1,1
19,0,7,0,15,https://stackoverflow.com/users/4534194/jiminy-cricket,Jiminy Cricket,4534194,7,1,0
6,0,3,0,31,https://stackoverflow.com/users/4553499/hardik-patel,Hardik Patel,4553499,5,0,0
10,0,1,0,13,https://stackoverflow.com/users/4620038/marco-reus,marco reus,4620038,4,0,0
119,46,9,12,479,https://stackoverflow.com/users/4623392/harsh-bangari,harsh bangari,4623392,21,7,0
16,5,0,0,41,https://stackoverflow.com/users/4689667/priyanka,Priyanka,4689667,4,0,0
10,0,0,0,1,https://stackoverflow.com/users/4703742/%d9%85%da%a9%db%8c%d8%b4-%da%a9%d9%85%d8%a7%d8%b1,مکیش کمار,4703742,2,0,0
5,0,0,0,1,https://stackoverflow.com/users/4757295/rushi-deshmukh,rushi deshmukh,4757295,0,0,0
8,0,4,0,21,https://stackoverflow.com/users/4794750/mark,Mark,4794750,5,0,0
4,1,4,0,39,https://stackoverflow.com/users/4838443/user4838443,user4838443,4838443,6,0,0
41,6,0,0,89,https://stackoverflow.com/users/4874457/harekrishna-murari,Harekrishna Murari,4874457,4,1,0
13,1,3,0,83,https://stackoverflow.com/users/4949777/sean,Sean,4949777,10,2,1
1,0,0,0,1,https://stackoverflow.com/users/4950706/grow,Grow,4950706,1,0,0
2,0,0,0,1,https://stackoverflow.com/users/5056407/lyx,lyx,5056407,3,0,0
9,0,2,0,15,https://stackoverflow.com/users/5136570/ranjan,ranjan,5136570,6,1,0
18,6,6,0,103,https://stackoverflow.com/users/5139582/billy6,billy6,5139582,10,3,0
83,5,7,0,178,https://stackoverflow.com/users/5185726/subramanian,Subramanian,5185726,13,3,0
5,2,7,0,23,https://stackoverflow.com/users/5188246/kish,kish,5188246,4,0,0
15,1,3,0,11,https://stackoverflow.com/users/5196368/dwijonarko,dwijonarko,5196368,4,0,0
10396,564,10,7,18168,https://stackoverflow.com/users/5211833/adriaan,Adriaan,5211833,79,44,7
19,0,5,0,11,https://stackoverflow.com/users/5226565/gajanan,Gajanan,5226565,11,1,0
23,0,3,0,73,https://stackoverflow.com/users/5271795/nikita-lyashenko,Nikita Lyashenko,5271795,5,1,0
2,0,2,0,11,https://stackoverflow.com/users/5273248/luigi,Luigi,5273248,3,0,0
56,0,7,0,107,https://stackoverflow.com/users/5283523/md-anik-rahaman,Md Anik Rahaman,5283523,6,1,0
7,0,0,0,1,https://stackoverflow.com/users/5330269/anyun,anyun,5330269,1,0,0
4,0,2,0,1,https://stackoverflow.com/users/5336644/help,Help,5336644,4,0,0
4,0,1,0,31,https://stackoverflow.com/users/5336934/erdaren,erDaren,5336934,5,0,0
1,0,0,0,1,https://stackoverflow.com/users/5345298/atif,Atif,5345298,2,0,0
15,0,5,0,73,https://stackoverflow.com/users/5383466/don73,Don73,5383466,7,1,0
5,0,0,0,1,https://stackoverflow.com/users/5409084/sven-norquist,Sven Norquist,5409084,3,0,0
54,9,1,0,239,https://stackoverflow.com/users/5452738/bhavesh-desai,Bhavesh Desai,5452738,13,2,0
6,0,0,0,1,https://stackoverflow.com/users/5485024/christine,Christine,5485024,4,0,0
19,4,6,0,69,https://stackoverflow.com/users/5486797/davut-temel,davut temel,5486797,9,1,0
71,7,31,0,309,https://stackoverflow.com/users/5549944/luna-romania,luna.romania,5549944,15,3,1
25,3,4,0,31,https://stackoverflow.com/users/5565179/ihsan-ahmed,Ihsan Ahmed,5565179,3,0,0
33,1,8,0,45,https://stackoverflow.com/users/5645904/saleem-jafar,Saleem Jafar,5645904,13,5,0
16,0,3,0,1,https://stackoverflow.com/users/5766229/shayan-asadpoor,Shayan Asadpoor,5766229,2,0,0
12,0,4,0,17,https://stackoverflow.com/users/5810357/sisir-reddy,sisir reddy,5810357,5,0,0
12,1,7,0,13,https://stackoverflow.com/users/5820971/ramos,Ramos,5820971,5,0,0
10,0,4,0,17,https://stackoverflow.com/users/5829305/imvishal,ImVishal,5829305,6,0,0
4,0,0,0,1,https://stackoverflow.com/users/5850407/kenriche,kenriche,5850407,3,0,0
5,0,1,0,1,https://stackoverflow.com/users/5869381/jack-rogers,Jack Rogers,5869381,2,0,0
13,0,12,0,85,https://stackoverflow.com/users/5887249/sabya,sabya,5887249,12,2,0
4,0,0,0,1,https://stackoverflow.com/users/5913161/dhom,Dhom,5913161,0,0,0
12,0,0,0,1,https://stackoverflow.com/users/5961734/tom-cruise,Tom Cruise,5961734,0,0,0
13,1,3,0,41,https://stackoverflow.com/users/5963536/manuel-mena-rodr%c3%adguez,Manuel Mena Rodr&#237;guez,5963536,4,0,0
2,0,0,0,1,https://stackoverflow.com/users/5982785/nurul,Nurul,5982785,1,0,0
9,0,1,0,1,https://stackoverflow.com/users/6061766/ab-ber,AB BER,6061766,3,0,0
